date,school,reservation_theorique
2025-12-16,AKIRA KUROSAWA,100
2025-12-16,ALAIN SAVARY,152
2025-12-16,ALBRECHT,80
2025-12-16,ANDRE BOULLOCHE,57
2025-12-16,ANDRE MALRAUX,240
2025-12-16,ANTOINE BALARD,87
2025-12-16,AQUITAINE,91
2025-12-16,ARISTOTE,68
2025-12-16,AUBIGNE,108
2025-12-16,AUBRAC,56
2025-12-16,AUGUSTE COMTE,49
2025-12-16,AVERROES,57
2025-12-16,BENOITE GROULT,233
2025-12-16,BERGMAN,56
2025-12-16,BLAISE PASCAL,100
2025-12-16,BON,100
2025-12-16,BOUCHER,97
2025-12-16,BRES,85
2025-12-16,CALANDRETA DAU CHIVALET,81
2025-12-16,CALANDRETA DAU CLAPAS,157
2025-12-16,CALLAS,110
2025-12-16,CAMOENS,53
2025-12-16,CANDOLA,82
2025-12-16,CERVANTES,58
2025-12-16,CHAPLIN,132
2025-12-16,CHAPTAL,90
2025-12-16,CHARLES BAUDELAIRE,178
2025-12-16,CHARLES DICKENS ANNE FRANK,319
2025-12-16,CHENGDU,150
2025-12-16,COCTEAU,92
2025-12-16,CONDORCET,164
2025-12-16,COPERNIC,38
2025-12-16,DAUDET,114
2025-12-16,DAVILER KERGOMARD,267
2025-12-16,DEROIN,119
2025-12-16,DIDEROT,168
2025-12-16,DOCTEUR CALMETTE,165
2025-12-16,DURUY,43
2025-12-16,ELUARD,82
2025-12-16,EMILE COMBES,62
2025-12-16,EUGENE POTTIER JEAN SIBELIUS,262
2025-12-16,F D ROOSEVELT,106
2025-12-16,FIGUIER,89
2025-12-16,FLORIAN,82
2025-12-16,FRANCOIS MITTERRAND,189
2025-12-16,FREDERIC BAZILLE,20
2025-12-16,GALILEE,93
2025-12-16,GAMA,75
2025-12-16,GAMBETTA,83
2025-12-16,GANDHI,23
2025-12-16,GARIBALDI,144
2025-12-16,GARNIER,70
2025-12-16,GEORGES SIMENON,163
2025-12-16,GERMAINE RICHIER,288
2025-12-16,GOETHE,62
2025-12-16,HEIDELBERG,124
2025-12-16,HYPATIE,60
2025-12-16,ISAAC SCHOLL,111
2025-12-16,JACQUES BREL,205
2025-12-16,JEAN JAURES,184
2025-12-16,JEAN MACE,125
2025-12-16,JEAN MERMOZ,139
2025-12-16,JEAN MOULIN,120
2025-12-16,JEAN ZAY,97
2025-12-16,JEANNE D ARC,109
2025-12-16,JEANNE MOREAU,178
2025-12-16,JOAN MIRO,232
2025-12-16,JOSEPH DELTEIL,140
2025-12-16,JOYCE,55
2025-12-16,JULES FERRY,147
2025-12-16,JULES SIMON,161
2025-12-16,JULES VERNE,88
2025-12-16,JULIE DAUBIE,178
2025-12-16,KIPLING,74
2025-12-16,LAFONTAINE,76
2025-12-16,LAMARTINE,83
2025-12-16,LEO MALET,216
2025-12-16,LEOPOLD SEDAR SENGHOR,135
2025-12-16,LOUIS ARMSTRONG,160
2025-12-16,LOUISVILLE,93
2025-12-16,LUDWIG VAN BEETHOVEN,351
2025-12-16,LUTHERKING,49
2025-12-16,MADAME DE SEVIGNE,128
2025-12-16,MARC BLOCH,130
2025-12-16,MARGUERITTE YOURCENAR,191
2025-12-16,MARIE CURIE,195
2025-12-16,MARIE PAPE CARPENTIER,150
2025-12-16,MICHEL DE L HOSPITAL,284
2025-12-16,MICHELET,62
2025-12-16,MORISOT MOZART,274
2025-12-16,NERUDA,37
2025-12-16,OLYMPE DE GOUGES,229
2025-12-16,PAGNOL,108
2025-12-16,PASTEUR,42
2025-12-16,PAUL BERT VICTOR HUGO,151
2025-12-16,PAUL LANGEVIN,130
2025-12-16,PAUL PAINLEVE,120
2025-12-16,PERICLES,93
2025-12-16,PICASSO,22
2025-12-16,PREVERT,28
2025-12-16,PROKOFIEV,54
2025-12-16,RENAUD,53
2025-12-16,RONSARD,121
2025-12-16,ROUX,44
2025-12-16,SAMUEL PATY,81
2025-12-16,SARAH BERNHARDT,61
2025-12-16,SIGMUND FREUD,141
2025-12-16,SIGNORET,119
2025-12-16,SIMON BOLIVAR,116
2025-12-16,SOULAGES,108
2025-12-16,SPINOZA,198
2025-12-16,SUN YAT SEN,201
2025-12-16,SURCOUF,92
2025-12-16,TERESA,61
2025-12-16,VAN GOGH,41
2025-12-16,VICTOR SCHOELCHER,252
2025-12-16,VOLTAIRE,204
2025-12-16,WINSTON CHURCHILL,275
2025-12-16,WOOLF,25
