date,school,reservation_theorique
2025-12-02,AKIRA KUROSAWA,102
2025-12-02,ALAIN SAVARY,138
2025-12-02,ALBRECHT,80
2025-12-02,ANDRE BOULLOCHE,54
2025-12-02,ANDRE MALRAUX,241
2025-12-02,ANTOINE BALARD,86
2025-12-02,AQUITAINE,87
2025-12-02,ARISTOTE,68
2025-12-02,AUBIGNE,1
2025-12-02,AUBRAC,54
2025-12-02,AUGUSTE COMTE,0
2025-12-02,AVERROES,49
2025-12-02,BENOITE GROULT,231
2025-12-02,BERGMAN,55
2025-12-02,BLAISE PASCAL,99
2025-12-02,BON,94
2025-12-02,BOUCHER,98
2025-12-02,BRES,86
2025-12-02,CALANDRETA DAU CHIVALET,83
2025-12-02,CALANDRETA DAU CLAPAS,158
2025-12-02,CALLAS,110
2025-12-02,CAMOENS,52
2025-12-02,CANDOLA,81
2025-12-02,CERVANTES,55
2025-12-02,CHAPLIN,133
2025-12-02,CHAPTAL,86
2025-12-02,CHARLES BAUDELAIRE,177
2025-12-02,CHARLES DICKENS ANNE FRANK,294
2025-12-02,CHENGDU,154
2025-12-02,COCTEAU,0
2025-12-02,CONDORCET,164
2025-12-02,COPERNIC,40
2025-12-02,DAUDET,102
2025-12-02,DAVILER KERGOMARD,265
2025-12-02,DEROIN,117
2025-12-02,DIDEROT,164
2025-12-02,DOCTEUR CALMETTE,166
2025-12-02,DURUY,42
2025-12-02,ELUARD,79
2025-12-02,EMILE COMBES,61
2025-12-02,EUGENE POTTIER JEAN SIBELIUS,263
2025-12-02,F D ROOSEVELT,106
2025-12-02,FIGUIER,88
2025-12-02,FLORIAN,82
2025-12-02,FRANCOIS MITTERRAND,192
2025-12-02,FREDERIC BAZILLE,20
2025-12-02,GALILEE,89
2025-12-02,GAMA,71
2025-12-02,GAMBETTA,84
2025-12-02,GANDHI,21
2025-12-02,GARIBALDI,141
2025-12-02,GARNIER,69
2025-12-02,GEORGES SIMENON,166
2025-12-02,GERMAINE RICHIER,278
2025-12-02,GOETHE,61
2025-12-02,HEIDELBERG,124
2025-12-02,HYPATIE,62
2025-12-02,ISAAC SCHOLL,111
2025-12-02,JACQUES BREL,203
2025-12-02,JEAN JAURES,1
2025-12-02,JEAN MACE,132
2025-12-02,JEAN MERMOZ,138
2025-12-02,JEAN MOULIN,119
2025-12-02,JEAN ZAY,96
2025-12-02,JEANNE D ARC,107
2025-12-02,JEANNE MOREAU,177
2025-12-02,JOAN MIRO,234
2025-12-02,JOSEPH DELTEIL,138
2025-12-02,JOYCE,51
2025-12-02,JULES FERRY,148
2025-12-02,JULES SIMON,160
2025-12-02,JULES VERNE,108
2025-12-02,JULIE DAUBIE,174
2025-12-02,KIPLING,74
2025-12-02,LAFONTAINE,77
2025-12-02,LAMARTINE,82
2025-12-02,LEO MALET,220
2025-12-02,LEOPOLD SEDAR SENGHOR,130
2025-12-02,LOUIS ARMSTRONG,162
2025-12-02,LOUISVILLE,91
2025-12-02,LUDWIG VAN BEETHOVEN,350
2025-12-02,LUTHERKING,46
2025-12-02,MADAME DE SEVIGNE,124
2025-12-02,MARC BLOCH,132
2025-12-02,MARGUERITTE YOURCENAR,183
2025-12-02,MARIE CURIE,198
2025-12-02,MARIE PAPE CARPENTIER,152
2025-12-02,MICHEL DE L HOSPITAL,280
2025-12-02,MICHELET,62
2025-12-02,MORISOT MOZART,274
2025-12-02,NERUDA,36
2025-12-02,OLYMPE DE GOUGES,228
2025-12-02,PAGNOL,3
2025-12-02,PASTEUR,43
2025-12-02,PAUL BERT VICTOR HUGO,150
2025-12-02,PAUL LANGEVIN,130
2025-12-02,PAUL PAINLEVE,127
2025-12-02,PERICLES,93
2025-12-02,PICASSO,23
2025-12-02,PREVERT,1
2025-12-02,PROKOFIEV,55
2025-12-02,RENAUD,53
2025-12-02,RONSARD,124
2025-12-02,ROUX,42
2025-12-02,SAMUEL PATY,79
2025-12-02,SARAH BERNHARDT,61
2025-12-02,SIGMUND FREUD,136
2025-12-02,SIGNORET,118
2025-12-02,SIMON BOLIVAR,114
2025-12-02,SOULAGES,110
2025-12-02,SPINOZA,185
2025-12-02,SUN YAT SEN,194
2025-12-02,SURCOUF,92
2025-12-02,TERESA,63
2025-12-02,VAN GOGH,40
2025-12-02,VICTOR SCHOELCHER,251
2025-12-02,VOLTAIRE,204
2025-12-02,WINSTON CHURCHILL,263
2025-12-02,WOOLF,25
