date,school,reservation_theorique
2025-12-09,AKIRA KUROSAWA,102
2025-12-09,ALAIN SAVARY,132
2025-12-09,ALBRECHT,80
2025-12-09,ANDRE BOULLOCHE,57
2025-12-09,ANDRE MALRAUX,242
2025-12-09,ANTOINE BALARD,85
2025-12-09,AQUITAINE,91
2025-12-09,ARISTOTE,67
2025-12-09,AUBIGNE,125
2025-12-09,AUBRAC,54
2025-12-09,AUGUSTE COMTE,51
2025-12-09,AVERROES,50
2025-12-09,BENOITE GROULT,233
2025-12-09,BERGMAN,56
2025-12-09,BLAISE PASCAL,95
2025-12-09,BON,98
2025-12-09,BOUCHER,97
2025-12-09,BRES,86
2025-12-09,CALANDRETA DAU CHIVALET,82
2025-12-09,CALANDRETA DAU CLAPAS,159
2025-12-09,CALLAS,109
2025-12-09,CAMOENS,54
2025-12-09,CANDOLA,81
2025-12-09,CERVANTES,60
2025-12-09,CHAPLIN,135
2025-12-09,CHAPTAL,90
2025-12-09,CHARLES BAUDELAIRE,177
2025-12-09,CHARLES DICKENS ANNE FRANK,320
2025-12-09,CHENGDU,153
2025-12-09,COCTEAU,94
2025-12-09,CONDORCET,165
2025-12-09,COPERNIC,38
2025-12-09,DAUDET,121
2025-12-09,DAVILER KERGOMARD,265
2025-12-09,DEROIN,117
2025-12-09,DIDEROT,168
2025-12-09,DOCTEUR CALMETTE,166
2025-12-09,DURUY,43
2025-12-09,ELUARD,80
2025-12-09,EMILE COMBES,61
2025-12-09,EUGENE POTTIER JEAN SIBELIUS,261
2025-12-09,F D ROOSEVELT,104
2025-12-09,FIGUIER,89
2025-12-09,FLORIAN,83
2025-12-09,FRANCOIS MITTERRAND,191
2025-12-09,FREDERIC BAZILLE,20
2025-12-09,GALILEE,91
2025-12-09,GAMA,74
2025-12-09,GAMBETTA,82
2025-12-09,GANDHI,21
2025-12-09,GARIBALDI,139
2025-12-09,GARNIER,70
2025-12-09,GEORGES SIMENON,164
2025-12-09,GERMAINE RICHIER,287
2025-12-09,GOETHE,61
2025-12-09,HEIDELBERG,126
2025-12-09,HYPATIE,60
2025-12-09,ISAAC SCHOLL,110
2025-12-09,JACQUES BREL,201
2025-12-09,JEAN JAURES,187
2025-12-09,JEAN MACE,127
2025-12-09,JEAN MERMOZ,141
2025-12-09,JEAN MOULIN,120
2025-12-09,JEAN ZAY,97
2025-12-09,JEANNE D ARC,108
2025-12-09,JEANNE MOREAU,179
2025-12-09,JOAN MIRO,232
2025-12-09,JOSEPH DELTEIL,137
2025-12-09,JOYCE,52
2025-12-09,JULES FERRY,148
2025-12-09,JULES SIMON,160
2025-12-09,JULES VERNE,107
2025-12-09,JULIE DAUBIE,176
2025-12-09,KIPLING,75
2025-12-09,LAFONTAINE,77
2025-12-09,LAMARTINE,76
2025-12-09,LEO MALET,220
2025-12-09,LEOPOLD SEDAR SENGHOR,131
2025-12-09,LOUIS ARMSTRONG,162
2025-12-09,LOUISVILLE,93
2025-12-09,LUDWIG VAN BEETHOVEN,355
2025-12-09,LUTHERKING,49
2025-12-09,MADAME DE SEVIGNE,130
2025-12-09,MARC BLOCH,132
2025-12-09,MARGUERITTE YOURCENAR,184
2025-12-09,MARIE CURIE,198
2025-12-09,MARIE PAPE CARPENTIER,153
2025-12-09,MICHEL DE L HOSPITAL,284
2025-12-09,MICHELET,61
2025-12-09,MORISOT MOZART,271
2025-12-09,NERUDA,37
2025-12-09,OLYMPE DE GOUGES,233
2025-12-09,PAGNOL,109
2025-12-09,PASTEUR,42
2025-12-09,PAUL BERT VICTOR HUGO,148
2025-12-09,PAUL LANGEVIN,128
2025-12-09,PAUL PAINLEVE,123
2025-12-09,PERICLES,92
2025-12-09,PICASSO,22
2025-12-09,PREVERT,28
2025-12-09,PROKOFIEV,54
2025-12-09,RENAUD,53
2025-12-09,RONSARD,123
2025-12-09,ROUX,44
2025-12-09,SAMUEL PATY,79
2025-12-09,SARAH BERNHARDT,61
2025-12-09,SIGMUND FREUD,141
2025-12-09,SIGNORET,119
2025-12-09,SIMON BOLIVAR,112
2025-12-09,SOULAGES,108
2025-12-09,SPINOZA,181
2025-12-09,SUN YAT SEN,188
2025-12-09,SURCOUF,95
2025-12-09,TERESA,61
2025-12-09,VAN GOGH,41
2025-12-09,VICTOR SCHOELCHER,260
2025-12-09,VOLTAIRE,208
2025-12-09,WINSTON CHURCHILL,273
2025-12-09,WOOLF,25
