date,school,reservation_theorique
2025-12-19,AKIRA KUROSAWA,99
2025-12-19,ALAIN SAVARY,142
2025-12-19,ALBRECHT,79
2025-12-19,ANDRE BOULLOCHE,52
2025-12-19,ANDRE MALRAUX,235
2025-12-19,ANTOINE BALARD,83
2025-12-19,AQUITAINE,84
2025-12-19,ARISTOTE,66
2025-12-19,AUBIGNE,126
2025-12-19,AUBRAC,53
2025-12-19,AUGUSTE COMTE,48
2025-12-19,AVERROES,58
2025-12-19,BENOITE GROULT,233
2025-12-19,BERGMAN,53
2025-12-19,BLAISE PASCAL,93
2025-12-19,BON,86
2025-12-19,BOUCHER,92
2025-12-19,BRES,81
2025-12-19,CALANDRETA DAU CHIVALET,79
2025-12-19,CALANDRETA DAU CLAPAS,161
2025-12-19,CALLAS,107
2025-12-19,CAMOENS,57
2025-12-19,CANDOLA,80
2025-12-19,CERVANTES,61
2025-12-19,CHAPLIN,129
2025-12-19,CHAPTAL,84
2025-12-19,CHARLES BAUDELAIRE,182
2025-12-19,CHARLES DICKENS ANNE FRANK,318
2025-12-19,CHENGDU,146
2025-12-19,COCTEAU,90
2025-12-19,CONDORCET,162
2025-12-19,COPERNIC,35
2025-12-19,DAUDET,120
2025-12-19,DAVILER KERGOMARD,273
2025-12-19,DEROIN,120
2025-12-19,DIDEROT,160
2025-12-19,DOCTEUR CALMETTE,152
2025-12-19,DURUY,44
2025-12-19,ELUARD,79
2025-12-19,EMILE COMBES,61
2025-12-19,EUGENE POTTIER JEAN SIBELIUS,258
2025-12-19,F D ROOSEVELT,98
2025-12-19,FIGUIER,88
2025-12-19,FLORIAN,79
2025-12-19,FRANCOIS MITTERRAND,188
2025-12-19,FREDERIC BAZILLE,21
2025-12-19,GALILEE,92
2025-12-19,GAMA,77
2025-12-19,GAMBETTA,82
2025-12-19,GANDHI,25
2025-12-19,GARIBALDI,147
2025-12-19,GARNIER,65
2025-12-19,GEORGES SIMENON,168
2025-12-19,GERMAINE RICHIER,283
2025-12-19,GOETHE,55
2025-12-19,HEIDELBERG,127
2025-12-19,HYPATIE,56
2025-12-19,ISAAC SCHOLL,109
2025-12-19,JACQUES BREL,194
2025-12-19,JEAN JAURES,182
2025-12-19,JEAN MACE,127
2025-12-19,JEAN MERMOZ,143
2025-12-19,JEAN MOULIN,120
2025-12-19,JEAN ZAY,91
2025-12-19,JEANNE D ARC,103
2025-12-19,JEANNE MOREAU,170
2025-12-19,JOAN MIRO,225
2025-12-19,JOSEPH DELTEIL,133
2025-12-19,JOYCE,48
2025-12-19,JULES FERRY,142
2025-12-19,JULES SIMON,163
2025-12-19,JULES VERNE,79
2025-12-19,JULIE DAUBIE,178
2025-12-19,KIPLING,75
2025-12-19,LAFONTAINE,70
2025-12-19,LAMARTINE,82
2025-12-19,LEO MALET,212
2025-12-19,LEOPOLD SEDAR SENGHOR,118
2025-12-19,LOUIS ARMSTRONG,151
2025-12-19,LOUISVILLE,95
2025-12-19,LUDWIG VAN BEETHOVEN,341
2025-12-19,LUTHERKING,45
2025-12-19,MADAME DE SEVIGNE,123
2025-12-19,MARC BLOCH,133
2025-12-19,MARGUERITTE YOURCENAR,187
2025-12-19,MARIE CURIE,190
2025-12-19,MARIE PAPE CARPENTIER,148
2025-12-19,MICHEL DE L HOSPITAL,277
2025-12-19,MICHELET,66
2025-12-19,MORISOT MOZART,271
2025-12-19,NERUDA,38
2025-12-19,OLYMPE DE GOUGES,221
2025-12-19,PAGNOL,102
2025-12-19,PASTEUR,39
2025-12-19,PAUL BERT VICTOR HUGO,153
2025-12-19,PAUL LANGEVIN,127
2025-12-19,PAUL PAINLEVE,122
2025-12-19,PERICLES,92
2025-12-19,PICASSO,17
2025-12-19,PREVERT,29
2025-12-19,PROKOFIEV,56
2025-12-19,RENAUD,51
2025-12-19,RONSARD,117
2025-12-19,ROUX,46
2025-12-19,SAMUEL PATY,87
2025-12-19,SARAH BERNHARDT,58
2025-12-19,SIGMUND FREUD,145
2025-12-19,SIGNORET,117
2025-12-19,SIMON BOLIVAR,119
2025-12-19,SOULAGES,107
2025-12-19,SPINOZA,194
2025-12-19,SUN YAT SEN,194
2025-12-19,SURCOUF,103
2025-12-19,TERESA,62
2025-12-19,VAN GOGH,42
2025-12-19,VICTOR SCHOELCHER,258
2025-12-19,VOLTAIRE,203
2025-12-19,WINSTON CHURCHILL,273
2025-12-19,WOOLF,20
