date,school,reservation_theorique
2025-12-11,AKIRA KUROSAWA,86
2025-12-11,ALAIN SAVARY,146
2025-12-11,ALBRECHT,73
2025-12-11,ANDRE BOULLOCHE,42
2025-12-11,ANDRE MALRAUX,239
2025-12-11,ANTOINE BALARD,66
2025-12-11,AQUITAINE,85
2025-12-11,ARISTOTE,69
2025-12-11,AUBIGNE,125
2025-12-11,AUBRAC,51
2025-12-11,AUGUSTE COMTE,51
2025-12-11,AVERROES,48
2025-12-11,BENOITE GROULT,233
2025-12-11,BERGMAN,56
2025-12-11,BLAISE PASCAL,93
2025-12-11,BON,83
2025-12-11,BOUCHER,90
2025-12-11,BRES,76
2025-12-11,CALANDRETA DAU CHIVALET,83
2025-12-11,CALANDRETA DAU CLAPAS,156
2025-12-11,CALLAS,104
2025-12-11,CAMOENS,52
2025-12-11,CANDOLA,70
2025-12-11,CERVANTES,53
2025-12-11,CHAPLIN,132
2025-12-11,CHAPTAL,90
2025-12-11,CHARLES BAUDELAIRE,171
2025-12-11,CHARLES DICKENS ANNE FRANK,304
2025-12-11,CHENGDU,150
2025-12-11,COCTEAU,89
2025-12-11,CONDORCET,160
2025-12-11,COPERNIC,37
2025-12-11,DAUDET,122
2025-12-11,DAVILER KERGOMARD,263
2025-12-11,DEROIN,111
2025-12-11,DIDEROT,144
2025-12-11,DOCTEUR CALMETTE,164
2025-12-11,DURUY,43
2025-12-11,ELUARD,79
2025-12-11,EMILE COMBES,62
2025-12-11,EUGENE POTTIER JEAN SIBELIUS,259
2025-12-11,F D ROOSEVELT,84
2025-12-11,FIGUIER,89
2025-12-11,FLORIAN,85
2025-12-11,FRANCOIS MITTERRAND,191
2025-12-11,FREDERIC BAZILLE,19
2025-12-11,GALILEE,73
2025-12-11,GAMA,77
2025-12-11,GAMBETTA,84
2025-12-11,GANDHI,19
2025-12-11,GARIBALDI,148
2025-12-11,GARNIER,69
2025-12-11,GEORGES SIMENON,159
2025-12-11,GERMAINE RICHIER,276
2025-12-11,GOETHE,61
2025-12-11,HEIDELBERG,104
2025-12-11,HYPATIE,46
2025-12-11,ISAAC SCHOLL,112
2025-12-11,JACQUES BREL,192
2025-12-11,JEAN JAURES,179
2025-12-11,JEAN MACE,124
2025-12-11,JEAN MERMOZ,140
2025-12-11,JEAN MOULIN,118
2025-12-11,JEAN ZAY,90
2025-12-11,JEANNE D ARC,112
2025-12-11,JEANNE MOREAU,171
2025-12-11,JOAN MIRO,233
2025-12-11,JOSEPH DELTEIL,114
2025-12-11,JOYCE,43
2025-12-11,JULES FERRY,145
2025-12-11,JULES SIMON,162
2025-12-11,JULES VERNE,98
2025-12-11,JULIE DAUBIE,162
2025-12-11,KIPLING,74
2025-12-11,LAFONTAINE,76
2025-12-11,LAMARTINE,77
2025-12-11,LEO MALET,204
2025-12-11,LEOPOLD SEDAR SENGHOR,107
2025-12-11,LOUIS ARMSTRONG,141
2025-12-11,LOUISVILLE,81
2025-12-11,LUDWIG VAN BEETHOVEN,338
2025-12-11,LUTHERKING,42
2025-12-11,MADAME DE SEVIGNE,128
2025-12-11,MARC BLOCH,114
2025-12-11,MARGUERITTE YOURCENAR,174
2025-12-11,MARIE CURIE,195
2025-12-11,MARIE PAPE CARPENTIER,142
2025-12-11,MICHEL DE L HOSPITAL,273
2025-12-11,MICHELET,63
2025-12-11,MORISOT MOZART,274
2025-12-11,NERUDA,27
2025-12-11,OLYMPE DE GOUGES,222
2025-12-11,PAGNOL,100
2025-12-11,PASTEUR,43
2025-12-11,PAUL BERT VICTOR HUGO,150
2025-12-11,PAUL LANGEVIN,134
2025-12-11,PAUL PAINLEVE,128
2025-12-11,PERICLES,92
2025-12-11,PICASSO,17
2025-12-11,PREVERT,22
2025-12-11,PROKOFIEV,51
2025-12-11,RENAUD,46
2025-12-11,RONSARD,106
2025-12-11,ROUX,44
2025-12-11,SAMUEL PATY,75
2025-12-11,SARAH BERNHARDT,58
2025-12-11,SIGMUND FREUD,132
2025-12-11,SIGNORET,118
2025-12-11,SIMON BOLIVAR,91
2025-12-11,SOULAGES,106
2025-12-11,SPINOZA,172
2025-12-11,SUN YAT SEN,187
2025-12-11,SURCOUF,93
2025-12-11,TERESA,56
2025-12-11,VAN GOGH,37
2025-12-11,VICTOR SCHOELCHER,239
2025-12-11,VOLTAIRE,195
2025-12-11,WINSTON CHURCHILL,271
2025-12-11,WOOLF,23
