date,school,reservation_theorique
2025-12-04,AKIRA KUROSAWA,86
2025-12-04,ALAIN SAVARY,146
2025-12-04,ALBRECHT,75
2025-12-04,ANDRE BOULLOCHE,38
2025-12-04,ANDRE MALRAUX,238
2025-12-04,ANTOINE BALARD,68
2025-12-04,AQUITAINE,84
2025-12-04,ARISTOTE,68
2025-12-04,AUBIGNE,124
2025-12-04,AUBRAC,52
2025-12-04,AUGUSTE COMTE,51
2025-12-04,AVERROES,46
2025-12-04,BENOITE GROULT,232
2025-12-04,BERGMAN,53
2025-12-04,BLAISE PASCAL,92
2025-12-04,BON,78
2025-12-04,BOUCHER,90
2025-12-04,BRES,76
2025-12-04,CALANDRETA DAU CHIVALET,82
2025-12-04,CALANDRETA DAU CLAPAS,157
2025-12-04,CALLAS,104
2025-12-04,CAMOENS,50
2025-12-04,CANDOLA,74
2025-12-04,CERVANTES,51
2025-12-04,CHAPLIN,132
2025-12-04,CHAPTAL,86
2025-12-04,CHARLES BAUDELAIRE,168
2025-12-04,CHARLES DICKENS ANNE FRANK,308
2025-12-04,CHENGDU,151
2025-12-04,COCTEAU,86
2025-12-04,CONDORCET,168
2025-12-04,COPERNIC,38
2025-12-04,DAUDET,123
2025-12-04,DAVILER KERGOMARD,261
2025-12-04,DEROIN,111
2025-12-04,DIDEROT,143
2025-12-04,DOCTEUR CALMETTE,163
2025-12-04,DURUY,45
2025-12-04,ELUARD,78
2025-12-04,EMILE COMBES,64
2025-12-04,EUGENE POTTIER JEAN SIBELIUS,260
2025-12-04,F D ROOSEVELT,86
2025-12-04,FIGUIER,88
2025-12-04,FLORIAN,85
2025-12-04,FRANCOIS MITTERRAND,192
2025-12-04,FREDERIC BAZILLE,19
2025-12-04,GALILEE,72
2025-12-04,GAMA,75
2025-12-04,GAMBETTA,82
2025-12-04,GANDHI,16
2025-12-04,GARIBALDI,149
2025-12-04,GARNIER,71
2025-12-04,GEORGES SIMENON,155
2025-12-04,GERMAINE RICHIER,271
2025-12-04,GOETHE,58
2025-12-04,HEIDELBERG,109
2025-12-04,HYPATIE,45
2025-12-04,ISAAC SCHOLL,112
2025-12-04,JACQUES BREL,195
2025-12-04,JEAN JAURES,175
2025-12-04,JEAN MACE,129
2025-12-04,JEAN MERMOZ,141
2025-12-04,JEAN MOULIN,116
2025-12-04,JEAN ZAY,92
2025-12-04,JEANNE D ARC,78
2025-12-04,JEANNE MOREAU,171
2025-12-04,JOAN MIRO,232
2025-12-04,JOSEPH DELTEIL,119
2025-12-04,JOYCE,41
2025-12-04,JULES FERRY,147
2025-12-04,JULES SIMON,163
2025-12-04,JULES VERNE,97
2025-12-04,JULIE DAUBIE,164
2025-12-04,KIPLING,70
2025-12-04,LAFONTAINE,76
2025-12-04,LAMARTINE,80
2025-12-04,LEO MALET,203
2025-12-04,LEOPOLD SEDAR SENGHOR,103
2025-12-04,LOUIS ARMSTRONG,135
2025-12-04,LOUISVILLE,87
2025-12-04,LUDWIG VAN BEETHOVEN,338
2025-12-04,LUTHERKING,41
2025-12-04,MADAME DE SEVIGNE,125
2025-12-04,MARC BLOCH,118
2025-12-04,MARGUERITTE YOURCENAR,169
2025-12-04,MARIE CURIE,194
2025-12-04,MARIE PAPE CARPENTIER,145
2025-12-04,MICHEL DE L HOSPITAL,273
2025-12-04,MICHELET,62
2025-12-04,MORISOT MOZART,271
2025-12-04,NERUDA,27
2025-12-04,OLYMPE DE GOUGES,226
2025-12-04,PAGNOL,100
2025-12-04,PASTEUR,40
2025-12-04,PAUL BERT VICTOR HUGO,151
2025-12-04,PAUL LANGEVIN,126
2025-12-04,PAUL PAINLEVE,124
2025-12-04,PERICLES,92
2025-12-04,PICASSO,17
2025-12-04,PREVERT,22
2025-12-04,PROKOFIEV,52
2025-12-04,RENAUD,47
2025-12-04,RONSARD,100
2025-12-04,ROUX,44
2025-12-04,SAMUEL PATY,76
2025-12-04,SARAH BERNHARDT,57
2025-12-04,SIGMUND FREUD,132
2025-12-04,SIGNORET,116
2025-12-04,SIMON BOLIVAR,91
2025-12-04,SOULAGES,109
2025-12-04,SPINOZA,171
2025-12-04,SUN YAT SEN,186
2025-12-04,SURCOUF,87
2025-12-04,TERESA,62
2025-12-04,VAN GOGH,36
2025-12-04,VICTOR SCHOELCHER,241
2025-12-04,VOLTAIRE,194
2025-12-04,WINSTON CHURCHILL,266
2025-12-04,WOOLF,23
