date,school,reservation_theorique
2025-12-15,AKIRA KUROSAWA,94
2025-12-15,ALAIN SAVARY,137
2025-12-15,ALBRECHT,75
2025-12-15,ANDRE BOULLOCHE,37
2025-12-15,ANDRE MALRAUX,239
2025-12-15,ANTOINE BALARD,68
2025-12-15,AQUITAINE,81
2025-12-15,ARISTOTE,70
2025-12-15,AUBIGNE,122
2025-12-15,AUBRAC,56
2025-12-15,AUGUSTE COMTE,49
2025-12-15,AVERROES,48
2025-12-15,BENOITE GROULT,229
2025-12-15,BERGMAN,53
2025-12-15,BLAISE PASCAL,95
2025-12-15,BON,83
2025-12-15,BOUCHER,90
2025-12-15,BRES,75
2025-12-15,CALANDRETA DAU CHIVALET,80
2025-12-15,CALANDRETA DAU CLAPAS,160
2025-12-15,CALLAS,105
2025-12-15,CAMOENS,51
2025-12-15,CANDOLA,82
2025-12-15,CERVANTES,47
2025-12-15,CHAPLIN,130
2025-12-15,CHAPTAL,91
2025-12-15,CHARLES BAUDELAIRE,174
2025-12-15,CHARLES DICKENS ANNE FRANK,299
2025-12-15,CHENGDU,148
2025-12-15,COCTEAU,85
2025-12-15,CONDORCET,161
2025-12-15,COPERNIC,38
2025-12-15,DAUDET,118
2025-12-15,DAVILER KERGOMARD,274
2025-12-15,DEROIN,109
2025-12-15,DIDEROT,141
2025-12-15,DOCTEUR CALMETTE,166
2025-12-15,DURUY,43
2025-12-15,ELUARD,80
2025-12-15,EMILE COMBES,59
2025-12-15,EUGENE POTTIER JEAN SIBELIUS,256
2025-12-15,F D ROOSEVELT,84
2025-12-15,FIGUIER,89
2025-12-15,FLORIAN,83
2025-12-15,FRANCOIS MITTERRAND,189
2025-12-15,FREDERIC BAZILLE,19
2025-12-15,GALILEE,67
2025-12-15,GAMA,75
2025-12-15,GAMBETTA,82
2025-12-15,GANDHI,23
2025-12-15,GARIBALDI,139
2025-12-15,GARNIER,68
2025-12-15,GEORGES SIMENON,154
2025-12-15,GERMAINE RICHIER,274
2025-12-15,GOETHE,59
2025-12-15,HEIDELBERG,107
2025-12-15,HYPATIE,53
2025-12-15,ISAAC SCHOLL,110
2025-12-15,JACQUES BREL,187
2025-12-15,JEAN JAURES,172
2025-12-15,JEAN MACE,121
2025-12-15,JEAN MERMOZ,141
2025-12-15,JEAN MOULIN,120
2025-12-15,JEAN ZAY,92
2025-12-15,JEANNE D ARC,103
2025-12-15,JEANNE MOREAU,169
2025-12-15,JOAN MIRO,231
2025-12-15,JOSEPH DELTEIL,121
2025-12-15,JOYCE,43
2025-12-15,JULES FERRY,139
2025-12-15,JULES SIMON,163
2025-12-15,JULES VERNE,101
2025-12-15,JULIE DAUBIE,166
2025-12-15,KIPLING,69
2025-12-15,LAFONTAINE,76
2025-12-15,LAMARTINE,84
2025-12-15,LEO MALET,206
2025-12-15,LEOPOLD SEDAR SENGHOR,100
2025-12-15,LOUIS ARMSTRONG,127
2025-12-15,LOUISVILLE,82
2025-12-15,LUDWIG VAN BEETHOVEN,340
2025-12-15,LUTHERKING,44
2025-12-15,MADAME DE SEVIGNE,129
2025-12-15,MARC BLOCH,115
2025-12-15,MARGUERITTE YOURCENAR,174
2025-12-15,MARIE CURIE,187
2025-12-15,MARIE PAPE CARPENTIER,142
2025-12-15,MICHEL DE L HOSPITAL,277
2025-12-15,MICHELET,61
2025-12-15,MORISOT MOZART,279
2025-12-15,NERUDA,30
2025-12-15,OLYMPE DE GOUGES,224
2025-12-15,PAGNOL,105
2025-12-15,PASTEUR,42
2025-12-15,PAUL BERT VICTOR HUGO,147
2025-12-15,PAUL LANGEVIN,128
2025-12-15,PAUL PAINLEVE,124
2025-12-15,PERICLES,92
2025-12-15,PICASSO,14
2025-12-15,PREVERT,24
2025-12-15,PROKOFIEV,53
2025-12-15,RENAUD,53
2025-12-15,RONSARD,112
2025-12-15,ROUX,46
2025-12-15,SAMUEL PATY,79
2025-12-15,SARAH BERNHARDT,61
2025-12-15,SIGMUND FREUD,134
2025-12-15,SIGNORET,120
2025-12-15,SIMON BOLIVAR,80
2025-12-15,SOULAGES,109
2025-12-15,SPINOZA,172
2025-12-15,SUN YAT SEN,178
2025-12-15,SURCOUF,93
2025-12-15,TERESA,58
2025-12-15,VAN GOGH,37
2025-12-15,VICTOR SCHOELCHER,243
2025-12-15,VOLTAIRE,191
2025-12-15,WINSTON CHURCHILL,266
2025-12-15,WOOLF,21
