date,school,reservation_theorique
2025-12-05,AKIRA KUROSAWA,104
2025-12-05,ALAIN SAVARY,142
2025-12-05,ALBRECHT,79
2025-12-05,ANDRE BOULLOCHE,50
2025-12-05,ANDRE MALRAUX,238
2025-12-05,ANTOINE BALARD,84
2025-12-05,AQUITAINE,83
2025-12-05,ARISTOTE,66
2025-12-05,AUBIGNE,127
2025-12-05,AUBRAC,55
2025-12-05,AUGUSTE COMTE,51
2025-12-05,AVERROES,61
2025-12-05,BENOITE GROULT,238
2025-12-05,BERGMAN,52
2025-12-05,BLAISE PASCAL,93
2025-12-05,BON,91
2025-12-05,BOUCHER,90
2025-12-05,BRES,81
2025-12-05,CALANDRETA DAU CHIVALET,82
2025-12-05,CALANDRETA DAU CLAPAS,158
2025-12-05,CALLAS,109
2025-12-05,CAMOENS,56
2025-12-05,CANDOLA,69
2025-12-05,CERVANTES,56
2025-12-05,CHAPLIN,131
2025-12-05,CHAPTAL,86
2025-12-05,CHARLES BAUDELAIRE,179
2025-12-05,CHARLES DICKENS ANNE FRANK,322
2025-12-05,CHENGDU,150
2025-12-05,COCTEAU,94
2025-12-05,CONDORCET,151
2025-12-05,COPERNIC,35
2025-12-05,DAUDET,119
2025-12-05,DAVILER KERGOMARD,271
2025-12-05,DEROIN,120
2025-12-05,DIDEROT,163
2025-12-05,DOCTEUR CALMETTE,163
2025-12-05,DURUY,45
2025-12-05,ELUARD,81
2025-12-05,EMILE COMBES,59
2025-12-05,EUGENE POTTIER JEAN SIBELIUS,258
2025-12-05,F D ROOSEVELT,100
2025-12-05,FIGUIER,84
2025-12-05,FLORIAN,82
2025-12-05,FRANCOIS MITTERRAND,191
2025-12-05,FREDERIC BAZILLE,20
2025-12-05,GALILEE,89
2025-12-05,GAMA,74
2025-12-05,GAMBETTA,83
2025-12-05,GANDHI,26
2025-12-05,GARIBALDI,145
2025-12-05,GARNIER,68
2025-12-05,GEORGES SIMENON,171
2025-12-05,GERMAINE RICHIER,292
2025-12-05,GOETHE,60
2025-12-05,HEIDELBERG,128
2025-12-05,HYPATIE,58
2025-12-05,ISAAC SCHOLL,112
2025-12-05,JACQUES BREL,196
2025-12-05,JEAN JAURES,188
2025-12-05,JEAN MACE,130
2025-12-05,JEAN MERMOZ,142
2025-12-05,JEAN MOULIN,117
2025-12-05,JEAN ZAY,91
2025-12-05,JEANNE D ARC,106
2025-12-05,JEANNE MOREAU,172
2025-12-05,JOAN MIRO,227
2025-12-05,JOSEPH DELTEIL,133
2025-12-05,JOYCE,47
2025-12-05,JULES FERRY,143
2025-12-05,JULES SIMON,164
2025-12-05,JULES VERNE,78
2025-12-05,JULIE DAUBIE,179
2025-12-05,KIPLING,74
2025-12-05,LAFONTAINE,71
2025-12-05,LAMARTINE,84
2025-12-05,LEO MALET,215
2025-12-05,LEOPOLD SEDAR SENGHOR,115
2025-12-05,LOUIS ARMSTRONG,152
2025-12-05,LOUISVILLE,91
2025-12-05,LUDWIG VAN BEETHOVEN,351
2025-12-05,LUTHERKING,46
2025-12-05,MADAME DE SEVIGNE,123
2025-12-05,MARC BLOCH,131
2025-12-05,MARGUERITTE YOURCENAR,181
2025-12-05,MARIE CURIE,188
2025-12-05,MARIE PAPE CARPENTIER,150
2025-12-05,MICHEL DE L HOSPITAL,280
2025-12-05,MICHELET,67
2025-12-05,MORISOT MOZART,270
2025-12-05,NERUDA,35
2025-12-05,OLYMPE DE GOUGES,222
2025-12-05,PAGNOL,104
2025-12-05,PASTEUR,41
2025-12-05,PAUL BERT VICTOR HUGO,151
2025-12-05,PAUL LANGEVIN,130
2025-12-05,PAUL PAINLEVE,127
2025-12-05,PERICLES,94
2025-12-05,PICASSO,18
2025-12-05,PREVERT,28
2025-12-05,PROKOFIEV,57
2025-12-05,RENAUD,51
2025-12-05,RONSARD,113
2025-12-05,ROUX,45
2025-12-05,SAMUEL PATY,88
2025-12-05,SARAH BERNHARDT,56
2025-12-05,SIGMUND FREUD,144
2025-12-05,SIGNORET,119
2025-12-05,SIMON BOLIVAR,118
2025-12-05,SOULAGES,111
2025-12-05,SPINOZA,195
2025-12-05,SUN YAT SEN,188
2025-12-05,SURCOUF,100
2025-12-05,TERESA,64
2025-12-05,VAN GOGH,42
2025-12-05,VICTOR SCHOELCHER,257
2025-12-05,VOLTAIRE,207
2025-12-05,WINSTON CHURCHILL,269
2025-12-05,WOOLF,20
