date,school,reservation_theorique
2025-12-18,AKIRA KUROSAWA,88
2025-12-18,ALAIN SAVARY,148
2025-12-18,ALBRECHT,71
2025-12-18,ANDRE BOULLOCHE,48
2025-12-18,ANDRE MALRAUX,239
2025-12-18,ANTOINE BALARD,65
2025-12-18,AQUITAINE,83
2025-12-18,ARISTOTE,69
2025-12-18,AUBIGNE,125
2025-12-18,AUBRAC,51
2025-12-18,AUGUSTE COMTE,49
2025-12-18,AVERROES,47
2025-12-18,BENOITE GROULT,226
2025-12-18,BERGMAN,55
2025-12-18,BLAISE PASCAL,93
2025-12-18,BON,82
2025-12-18,BOUCHER,91
2025-12-18,BRES,74
2025-12-18,CALANDRETA DAU CHIVALET,82
2025-12-18,CALANDRETA DAU CLAPAS,154
2025-12-18,CALLAS,102
2025-12-18,CAMOENS,51
2025-12-18,CANDOLA,80
2025-12-18,CERVANTES,54
2025-12-18,CHAPLIN,129
2025-12-18,CHAPTAL,90
2025-12-18,CHARLES BAUDELAIRE,170
2025-12-18,CHARLES DICKENS ANNE FRANK,309
2025-12-18,CHENGDU,148
2025-12-18,COCTEAU,87
2025-12-18,CONDORCET,167
2025-12-18,COPERNIC,37
2025-12-18,DAUDET,118
2025-12-18,DAVILER KERGOMARD,266
2025-12-18,DEROIN,108
2025-12-18,DIDEROT,148
2025-12-18,DOCTEUR CALMETTE,162
2025-12-18,DURUY,44
2025-12-18,ELUARD,80
2025-12-18,EMILE COMBES,64
2025-12-18,EUGENE POTTIER JEAN SIBELIUS,262
2025-12-18,F D ROOSEVELT,86
2025-12-18,FIGUIER,86
2025-12-18,FLORIAN,85
2025-12-18,FRANCOIS MITTERRAND,191
2025-12-18,FREDERIC BAZILLE,19
2025-12-18,GALILEE,73
2025-12-18,GAMA,78
2025-12-18,GAMBETTA,83
2025-12-18,GANDHI,20
2025-12-18,GARIBALDI,149
2025-12-18,GARNIER,70
2025-12-18,GEORGES SIMENON,157
2025-12-18,GERMAINE RICHIER,276
2025-12-18,GOETHE,59
2025-12-18,HEIDELBERG,104
2025-12-18,HYPATIE,47
2025-12-18,ISAAC SCHOLL,113
2025-12-18,JACQUES BREL,196
2025-12-18,JEAN JAURES,174
2025-12-18,JEAN MACE,121
2025-12-18,JEAN MERMOZ,139
2025-12-18,JEAN MOULIN,119
2025-12-18,JEAN ZAY,91
2025-12-18,JEANNE D ARC,107
2025-12-18,JEANNE MOREAU,171
2025-12-18,JOAN MIRO,230
2025-12-18,JOSEPH DELTEIL,112
2025-12-18,JOYCE,43
2025-12-18,JULES FERRY,146
2025-12-18,JULES SIMON,162
2025-12-18,JULES VERNE,98
2025-12-18,JULIE DAUBIE,162
2025-12-18,KIPLING,69
2025-12-18,LAFONTAINE,74
2025-12-18,LAMARTINE,77
2025-12-18,LEO MALET,203
2025-12-18,LEOPOLD SEDAR SENGHOR,105
2025-12-18,LOUIS ARMSTRONG,138
2025-12-18,LOUISVILLE,82
2025-12-18,LUDWIG VAN BEETHOVEN,329
2025-12-18,LUTHERKING,43
2025-12-18,MADAME DE SEVIGNE,125
2025-12-18,MARC BLOCH,118
2025-12-18,MARGUERITTE YOURCENAR,177
2025-12-18,MARIE CURIE,189
2025-12-18,MARIE PAPE CARPENTIER,146
2025-12-18,MICHEL DE L HOSPITAL,278
2025-12-18,MICHELET,63
2025-12-18,MORISOT MOZART,273
2025-12-18,NERUDA,28
2025-12-18,OLYMPE DE GOUGES,227
2025-12-18,PAGNOL,100
2025-12-18,PASTEUR,41
2025-12-18,PAUL BERT VICTOR HUGO,151
2025-12-18,PAUL LANGEVIN,131
2025-12-18,PAUL PAINLEVE,121
2025-12-18,PERICLES,92
2025-12-18,PICASSO,16
2025-12-18,PREVERT,24
2025-12-18,PROKOFIEV,52
2025-12-18,RENAUD,49
2025-12-18,RONSARD,101
2025-12-18,ROUX,45
2025-12-18,SAMUEL PATY,76
2025-12-18,SARAH BERNHARDT,57
2025-12-18,SIGMUND FREUD,133
2025-12-18,SIGNORET,116
2025-12-18,SIMON BOLIVAR,92
2025-12-18,SOULAGES,106
2025-12-18,SPINOZA,171
2025-12-18,SUN YAT SEN,192
2025-12-18,SURCOUF,90
2025-12-18,TERESA,58
2025-12-18,VAN GOGH,37
2025-12-18,VICTOR SCHOELCHER,240
2025-12-18,VOLTAIRE,194
2025-12-18,WINSTON CHURCHILL,272
2025-12-18,WOOLF,23
